"key","description"
"InstrumentDetector08Rois_value","Parameters defining the ROI. Format: R1P1,R1P2 R2P1,R2P2 ... RnP1,RnP2"
"InstrumentDetector08_calibration","For MCA detectors, coefficients a, b, c to compute a scale based on channel number as a + b * x + c * x * x"
"InstrumentDetector08_elapsed_live_time","Time the detector has been actually measuring (elapsed_time - dead_time)"
"InstrumentDetector08_elapsed_real_time","Time elapsed between start and stop of the measurement"
"InstrumentDetector08_preset_time","Desired measuring time"
"InstrumentDetector09Rois_value","Parameters defining the ROI. Format: R1P1,R1P2 R2P1,R2P2 ... RnP1,RnP2"
"InstrumentDetector09_calibration","For MCA detectors, coefficients a, b, c to compute a scale based on channel number as a + b * x + c * x * x"
"InstrumentDetector09_elapsed_live_time","Time the detector has been actually measuring (elapsed_time - dead_time)"
"InstrumentDetector09_elapsed_real_time","Time elapsed between start and stop of the measurement"
"InstrumentDetector09_preset_time","Desired measuring time"
"InstrumentDetector10Rois_value","Parameters defining the ROI. Format: R1P1,R1P2 R2P1,R2P2 ... RnP1,RnP2"
"InstrumentDetector10_calibration","For MCA detectors, coefficients a, b, c to compute a scale based on channel number as a + b * x + c * x * x"
"InstrumentDetector10_elapsed_live_time","Time the detector has been actually measuring (elapsed_time - dead_time)"
"InstrumentDetector10_elapsed_real_time","Time elapsed between start and stop of the measurement"
"InstrumentDetector10_preset_time","Desired measuring time"
"InstrumentSource_current_end","Machine current"
"InstrumentSource_distance","Effective distance from sample Distance as seen by radiation from sample. This number should be negative to signify that it is upstream of the sample."
"InstrumentSource_emittance_x","Source emittance (nm-rad) in X (horizontal) direction."
"InstrumentSource_emittance_y","Source emittance (nm-rad) in Y (horizontal) direction."
"InstrumentSource_name","Name of source"
"InstrumentSource_probe","type of radiation probe"
"InstrumentSource_type","type of radiation source (pick one from the enumerated list and spell exactly). Spallation Neutron Source, Pulsed Reactor Neutron Source, Reactor Neutron Source, Synchrotron X-ray Source, Pulsed Muon Source, Rotating Anode X-ray,Fixed Tube X-ray,UV Laser,Free-Electron Laser,Optical Laser,Ion Source,UV Plasma Source"
"InstrumentXraylens01_aperture","Diameter of the lens"
"InstrumentXraylens01_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens01_focus_type","The type of focus of the lens. Any of these values:line,point"
"InstrumentXraylens01_lens_geometry","Geometry of the lens. Any of these values:paraboloid,spherical,elliptical,hyperbolical"
"InstrumentXraylens01_lens_length","Length of the lens"
"InstrumentXraylens01_lens_material","Material used to make the lens"
"InstrumentXraylens01_lens_thickness","Thickness of the lens"
"InstrumentXraylens01_number_of_lenses","Number of lenses that make up the compound lens"
"InstrumentXraylens02_aperture","Diameter of the lens"
"InstrumentXraylens02_curvature","Radius of the curvature as measured in the middle of the lens"
"InstrumentXraylens02_focus_type","The type of focus of the lens. Any of these values:line,point"
